id_supplier,name,city,street,house,quality_assessment
1,BoldSystems,Новосибирск,Зелёная Бульвар,42,8.89
2,SwiftWorks,Тверь,Заводская Улица,60,9.34
3,SilentCo,Омск,Московская Переулок,97,8.69
4,DynamicSolutions,Архангельск,Заводская Площадь,77,5.3
5,SwiftGroup,Казань,Пролетарская Площадь,86,3.99
6,SilentCo,Астрахань,Пролетарская Проезд,84,3.13
7,PrimeLabs,Владимир,Западная Площадь,74,6.76
8,ClearCo,Нижний Новгород,Московская Площадь,75,5.05
9,SilentSolutions,Екатеринбург,Строителей Переулок,75,9.37
10,GoldenSolutions,Сургут,Ленинская Бульвар,72,8.99
11,GoldenEnterprises,Новокузнецк,Новая Площадь,13,2.5
12,SwiftGroup,Серпухов,Западная Проезд,47,2.92
13,PrimeFoods,Архангельск,Новая Проезд,89,2.08
14,PrimeTech,Калининград,Мира Переулок,23,1.25
15,FreshGroup,Хабаровск,Южная Шоссе,78,7.33
16,GoldenTech,Пенза,Зелёная Площадь,49,9.67
17,SilentPartners,Сургут,Восточная Проезд,90,6.36
18,DynamicCo,Тюмень,Восточная Дорога,81,7.31
19,BoldSolutions,Новокузнецк,Московская Проезд,28,3.9
20,ClearSystems,Омск,Пролетарская Шоссе,10,4.6
21,FreshSolutions,Курск,Западная Проспект,43,4.83
22,EliteTech,Владивосток,Лесная Дорога,70,3.52
23,GoldenSolutions,Саратов,Северная Шоссе,44,1.42
24,FreshWorks,Тюмень,Полевая Проезд,59,2.78
25,FreshWorks,Омск,Центральная Проспект,37,9.88
26,GoldenLabs,Тверь,Пролетарская Бульвар,5,8.31
27,BrightCo,Казань,Зелёная Переулок,59,8.16
28,BoldEnterprises,Томск,Мира Шоссе,90,1.16
29,BoldWorks,Саратов,Заводская Шоссе,40,4.52
30,BoldFoods,Томск,Ленинская Шоссе,60,2.26
31,PrimeCo,Губкин,Молодёжная Проспект,95,1.57
32,PrimeEnterprises,Ульяновск,Северная Бульвар,66,2.35
33,SwiftWorks,Хабаровск,Молодёжная Шоссе,92,1.36
34,BoldLabs,Челябинск,Советская Площадь,63,9.88
35,BoldTech,Астрахань,Новая Шоссе,77,4.07
36,BrightSystems,Губкин,Школьная Бульвар,23,4.52
37,PrimeGroup,Тула,Школьная Дорога,39,1.93
38,BrightTech,Сургут,Молодёжная Дорога,60,5.21
39,PrimeGroup,Смоленск,Школьная Проспект,78,8.05
40,BoldWorks,Казань,Школьная Проезд,32,6.72
41,BrightGroup,Ярославль,Советская Шоссе,72,5.17
42,SwiftPartners,Казань,Новая Улица,58,8.35
43,BrightTech,Ульяновск,Восточная Переулок,34,9.07
44,DynamicTech,Краснодар,Строителей Дорога,47,9.24
45,BrightWorks,Ярославль,Зелёная Дорога,22,3.34
46,ClearPartners,Рязань,Московская Улица,18,6.27
47,EliteFoods,Барнаул,Советская Переулок,14,5.05
48,BrightLabs,Хабаровск,Западная Дорога,8,7.89
49,ClearFoods,Тюмень,Строителей Проезд,67,8.44
50,BrightEnterprises,Киров,Южная Площадь,25,7.33
51,FreshPartners,Сургут,Центральная Шоссе,74,7.87
52,EliteEnterprises,Екатеринбург,Лесная Улица,80,8.8
53,SwiftGroup,Новосибирск,Мира Дорога,90,5.25
54,SwiftFoods,Калуга,Новая Проспект,7,6.85
55,PrimeTech,Липецк,Строителей Улица,46,6.71
56,SwiftCo,Ставрополь,Заводская Переулок,67,1.05
57,PrimeSolutions,Барнаул,Строителей Бульвар,89,9.66
58,GoldenSystems,Барнаул,Восточная Проспект,65,1.67
59,DynamicFoods,Владимир,Южная Проезд,95,7.86
60,ClearLabs,Саратов,Садовая Бульвар,69,3.23
61,SilentWorks,Ульяновск,Советская Дорога,80,9.73
62,BrightWorks,Томск,Южная Проспект,7,2.75
63,SilentLabs,Тверь,Садовая Проезд,85,8.88
64,SwiftSystems,Иркутск,Западная Бульвар,37,4.52
65,ElitePartners,Ульяновск,Школьная Площадь,67,3.64
66,EliteTech,Рязань,Центральная Площадь,87,7.67
67,DynamicEnterprises,Серпухов,Мира Проспект,83,9.48
68,BrightTech,Тольятти,Северная Проезд,10,6.56
69,BrightGroup,Курск,Лесная Площадь,42,9.66
70,FreshGroup,Волгоград,Пролетарская Проспект,49,7.25
71,PrimeFoods,Оренбург,Западная Улица,48,4.58
72,DynamicPartners,Воронеж,Заводская Проспект,61,5.6
73,EliteWorks,Владимир,Южная Бульвар,60,1.57
74,GoldenSolutions,Оренбург,Полевая Дорога,12,5.98
75,DynamicWorks,Липецк,Молодёжная Бульвар,61,5.21
